Date,Currency,Price,Volume
2025-01-05 19:00:00,FLR-USD,0.02684,48666009
2025-01-04 19:00:00,FLR-USD,0.02696,45838005
2025-01-03 19:00:00,FLR-USD,0.02785,36837273
2025-01-02 19:00:00,FLR-USD,0.02863,63761052
2025-01-01 19:00:00,FLR-USD,0.02782,51956839
2024-12-31 19:00:00,FLR-USD,0.02742,67367809
2025-01-09 19:00:00,QNT-USD,103.77,23096.141
2025-01-08 19:00:00,QNT-USD,102.53,15253.719
2025-01-07 19:00:00,QNT-USD,105.75,21127.301
2025-01-06 19:00:00,QNT-USD,107.79,23905.126
2025-01-05 19:00:00,QNT-USD,116.54,28792.179
2025-01-04 19:00:00,QNT-USD,118.71,20113.02
2025-01-03 19:00:00,QNT-USD,118.22,14489.773
2025-01-02 19:00:00,QNT-USD,120.81,18336.718
2025-01-01 19:00:00,QNT-USD,113.6,16899.296
2024-12-31 19:00:00,QNT-USD,115.73,19704.492
2025-01-09 19:00:00,SEI-USD,0.3885,14674860.4
2025-01-08 19:00:00,SEI-USD,0.3748,16233218.2
2025-01-07 19:00:00,SEI-USD,0.3948,19510366.3
2025-01-06 19:00:00,SEI-USD,0.4143,16374477.7
2025-01-05 19:00:00,SEI-USD,0.4649,16028136.3
2025-01-04 19:00:00,SEI-USD,0.4591,14833275.6
2025-01-03 19:00:00,SEI-USD,0.4713,19976299.7
2025-01-02 19:00:00,SEI-USD,0.4577,18219756.9
2025-01-01 19:00:00,SEI-USD,0.4301,12259672.9
2024-12-31 19:00:00,SEI-USD,0.42,20623085.8
2025-01-09 19:00:00,JASMY-USD,0.03192,595281894
2025-01-08 19:00:00,JASMY-USD,0.03123,654879915
2025-01-07 19:00:00,JASMY-USD,0.03295,826176138
2025-01-06 19:00:00,JASMY-USD,0.03481,647694705
2025-01-05 19:00:00,JASMY-USD,0.03966,630091431
2025-01-04 19:00:00,JASMY-USD,0.03873,673106562
2025-01-03 19:00:00,JASMY-USD,0.0398,819970106
2025-01-02 19:00:00,JASMY-USD,0.0372,621852292
2025-01-01 19:00:00,JASMY-USD,0.03474,440349407
2024-12-31 19:00:00,JASMY-USD,0.03402,417044451
2025-01-09 19:00:00,FLOKI-USD,0.0001653,8513522147
2025-01-08 19:00:00,FLOKI-USD,0.0001616,17309858619
2025-01-07 19:00:00,FLOKI-USD,0.0001673,26826481552
2025-01-06 19:00:00,FLOKI-USD,0.0001773,17731156571
2025-01-05 19:00:00,FLOKI-USD,0.0002017,29674087235
2025-01-04 19:00:00,FLOKI-USD,0.0001992,10502509064
2025-01-03 19:00:00,FLOKI-USD,0.0001994,15673502640
2025-01-02 19:00:00,FLOKI-USD,0.0002018,15354820976
2025-01-01 19:00:00,FLOKI-USD,0.0001839,13881633856
2024-12-31 19:00:00,FLOKI-USD,0.0001776,6591018839
2025-01-09 19:00:00,MKR-USD,1472.91,700.20451
2025-01-08 19:00:00,MKR-USD,1463.04,1067.349837
2025-01-07 19:00:00,MKR-USD,1480.94,1002.215864
2025-01-06 19:00:00,MKR-USD,1492.35,1397.94204
2025-01-05 19:00:00,MKR-USD,1629.93,881.520507
2025-01-04 19:00:00,MKR-USD,1575.22,426.590773
2025-01-03 19:00:00,MKR-USD,1590.85,985.478151
2025-01-02 19:00:00,MKR-USD,1606.79,840.540386
2025-01-01 19:00:00,MKR-USD,1546.15,607.597578
2024-12-31 19:00:00,MKR-USD,1505.71,709.50746
2025-01-09 19:00:00,EOS-USD,0.7979,1900697.9
2025-01-08 19:00:00,EOS-USD,0.7818,2616471.8
